,Master,Sub.plate,Treatment,Strain,OD,Read,Time
398,2,1,Basal,ECOR45,0.5393,33,38.54984177
399,2,1,Basal,ECOR45,0.6003,17,19.6568996
400,2,1,Basal,ECOR45,0.5433,10,11.40092391
401,2,1,Basal,ECOR45,0.5697,12,13.76221823
402,2,1,Basal,ECOR45,0.5576,31,36.19538743
403,2,1,Basal,ECOR45,0.5337,35,40.90901449
404,2,1,Basal,ECOR45,0.5056,41,48.00643729
405,2,1,Basal,ECOR45,0.6047,21,24.38651188
406,2,1,Basal,ECOR45,0.5196,38,44.48952842
407,2,1,Basal,ECOR45,0.5913,25,29.10552245
408,2,1,Basal,ECOR45,0.6019,22,25.56330681
409,2,1,Basal,ECOR45,0.5626,11,12.5895708
410,2,1,Basal,ECOR45,0.3407,6,6.690646303
411,2,1,Basal,705963,0.5266,36,42.11840632
412,2,1,Basal,705963,0.4469,12,13.76244694
413,2,1,Basal,705963,0.6958,28,32.63576204
414,2,1,Basal,705963,0.6828,31,36.19561623
415,2,1,Basal,705963,0.7252,26,30.28677442
416,2,1,Basal,705963,0.3143,8,9.035516078
417,2,1,Basal,705963,0.7949,20,23.21338049
418,2,1,Basal,705963,0.0719,2,1.979497683
419,2,1,Basal,705963,0.5548,16,18.47168478
420,2,1,Basal,705963,0.2833,7,7.862566099
421,2,1,Basal,705963,0.5094,39,45.67294983
422,2,1,Basal,705963,0.0468,1,0.8085115
423,2,1,Basal,705963,0.7784,23,26.74434416
424,2,1,Basal,705963,0.6695,32,37.37256104
425,2,1,Basal,705963,0.3836,10,11.40115267
426,2,1,Basal,705963,0.7168,29,33.81774431
427,2,1,Basal,705963,0.5071,41,48.00666618
428,2,1,Basal,705963,0.766,25,29.1057512
429,2,1,Basal,705963,0.7834,18,20.82930624
430,2,1,Basal,705963,0.1285,3,3.153263599
431,2,1,Basal,705963,0.2194,5,5.513788915
432,2,1,Basal,705963,0.1992,4,4.33065785
433,2,1,Basal,705963,0.2554,6,6.690875012
434,2,1,Basal,705963,0.7768,24,27.92151947
435,2,1,Basal,705963,0.7043,15,17.29023645
436,2,1,Basal,705963,0.7534,17,19.65712854
437,2,1,Basal,705963,0.5255,37,43.300405
438,2,1,Basal,705963,0.4755,13,14.93315903
439,2,1,Basal,705963,0.5185,40,46.83891512
440,2,1,Basal,705963,0.7405,21,24.38674063
441,2,1,Basal,705963,0.5818,14,16.1136407
442,2,1,Basal,705963,0.6629,27,31.4593906
443,2,1,Basal,705963,0.5456,33,38.55007075
444,2,1,Basal,705963,0.7282,30,35.00544418
445,2,1,Basal,705963,0.4194,11,12.5897996
446,2,1,Basal,705963,0.7521,22,25.56353556
447,2,1,Basal,705963,0.5353,34,39.72069806
448,2,1,Basal,705963,0.5105,38,44.48975722
449,2,1,Basal,705963,0.3482,9,10.21316418
450,2,1,Basal,705963,0.5407,35,40.90924329
451,2,1,Basal,705963,0.7356,19,22.02970165
452,2,1,Basal,ECOR6,0.5844,20,23.21360924
453,2,1,Basal,ECOR6,0.2434,5,5.514017625
454,2,1,Basal,ECOR6,0.0487,1,0.808740209
455,2,1,Basal,ECOR6,0.6084,28,32.6359908
456,2,1,Basal,ECOR6,0.6025,26,30.28700317
457,2,1,Basal,ECOR6,0.6007,29,33.81797311
458,2,1,Basal,ECOR6,0.6027,27,31.4596194
459,2,1,Basal,ECOR6,0.4501,11,12.5900284
460,2,1,Basal,ECOR6,0.548,39,45.67317863
461,2,1,Basal,ECOR6,0.5986,34,39.72092686
462,2,1,Basal,ECOR6,0.5837,18,20.82953499
463,2,1,Basal,ECOR6,0.3164,7,7.862794808
464,2,1,Basal,ECOR6,0.5642,17,19.65735748
465,2,1,Basal,ECOR6,0.5252,14,16.11386955
466,2,1,Basal,ECOR6,0.4167,10,11.40138142
467,2,1,Basal,ECOR6,0.5381,40,46.83914396
468,2,1,Basal,ECOR6,0.5409,15,17.29046516
469,2,1,Basal,ECOR6,0.3844,9,10.21339289
470,2,1,Basal,ECOR6,0.3506,8,9.035744787
471,2,1,Basal,ECOR6,0.5922,23,26.74457292
472,2,1,Basal,ECOR6,0.5764,37,43.3006338
473,2,1,Basal,ECOR6,0.5866,21,24.38696939
474,2,1,Basal,ECOR6,0.5875,19,22.02993059
475,2,1,Basal,ECOR6,0.5986,24,27.92174827
476,2,1,Basal,ECOR6,0.2128,4,4.330886604
477,2,1,Basal,ECOR6,0.551,38,44.48998602
478,2,1,Basal,ECOR6,0.5264,41,48.00689507
479,2,1,Basal,ECOR6,0.5913,35,40.90947209
480,2,1,Basal,ECOR6,0.5024,13,14.93338774
481,2,1,Basal,ECOR6,0.5966,31,36.19584503
482,2,1,Basal,ECOR6,0.0854,2,1.979726438
483,2,1,Basal,ECOR6,0.4796,12,13.76267565
484,2,1,Basal,ECOR6,0.6105,33,38.55029974
485,2,1,Basal,ECOR6,0.5515,16,18.47191349
486,2,1,Basal,ECOR6,0.6032,25,29.10597996
487,2,1,Basal,ECOR6,0.5761,36,42.11863535
488,2,1,Basal,ECOR6,0.5885,22,25.56376432
489,2,1,Basal,ECOR6,0.2829,6,6.691103721
490,2,1,Basal,ECOR6,0.5948,32,37.37278985
491,2,1,Basal,ECOR6,0.5959,30,35.00567294
492,2,1,Basal,ECOR6,0.1637,3,3.153492308
493,2,1,Basal,ECOR40,0.5356,27,31.46305141
